perm_run,total_pnl,trades,avg_pnl,win_rate,avg_win,avg_loss,win_loss_ratio,profit_factor
1,-532795.0001358986,8726,-61.058331438906556,0.5272748109099243,381.0617251658577,577.1421352244407,0.6602562902770377,0.7669374379107928
2,-219979.99941326678,7670,-28.680573587127352,0.5249022164276401,417.6720065195289,538.6763449464278,0.7753672691179099,0.8843140582064319
3,-364602.4995055795,8578,-42.504371590764684,0.5475635346234553,334.6955498916902,518.518740922851,0.6454839979284156,0.8117371722275148
4,-400304.9962183088,8222,-48.68705864975782,0.5305278521041109,403.2691425078748,581.8822408616703,0.693042533676059,0.814619113957146
5,-323292.50394418836,7444,-43.429944108569096,0.5292853304674906,477.52601401173143,651.1355579298317,0.7333741925106032,0.8533651265480734
6,-400694.99960280955,7472,-53.626204443630826,0.5460385438972163,375.64828344074755,588.3566634330674,0.6384703476439543,0.7927446799717995
7,-256277.50068575144,8020,-31.954800584258283,0.5476309226932669,361.83913839069993,533.9916077829009,0.6776120319437845,0.8611319572618928
8,-210497.49939471483,6677,-31.52575998123631,0.5529429384454096,392.88664638380624,578.5562514258891,0.6790811531558286,0.8732732906483174
9,-332794.9990846962,8359,-39.81277653842519,0.5158511783706184,345.3055419547722,469.161085756805,0.736006357811537,0.8173215078247096
10,-185782.49590292573,6856,-27.097796952002003,0.5596557759626605,393.8434967104271,582.3472864724895,0.6763034805160589,0.8905204031366225
11,-204417.4975182861,7422,-27.542104219655904,0.5561843168957155,413.3642182234574,597.4937430721445,0.6918302041090088,0.8930191002382702
12,-414202.4996982515,7878,-52.57711344227614,0.5275450621985276,395.00060065071295,572.4937332226718,0.6899649336372337,0.7985224907257987
13,-442549.9986754358,7289,-60.714775507674,0.5513787899574701,343.5089562161663,581.3496472283828,0.5908818520039785,0.7572557918380068
14,66382.4992364645,7360,9.019361309302242,0.5519021739130435,451.79098846954867,558.3309646233719,0.8091813227201345,1.037529839927142
15,-139842.49652676284,8149,-17.16069413753379,0.5254632470241748,355.0601352747601,444.9772167711835,0.7979287970092621,0.9157681878299814
16,-358409.9906399846,8515,-42.09160195419667,0.5341162654139754,381.2598938076194,546.455990513721,0.697695515148802,0.8287070260895146
17,-186187.4993929267,7081,-26.293955570248084,0.5719531139669538,350.9493818617713,555.6628053692017,0.6315869597004758,0.8841780804655814
18,-34917.49998211861,9466,-3.6887280775532014,0.5388759771814916,383.42873855085907,476.4929380876138,0.8046892365073355,0.9824604584547435
19,-311242.50006325543,7137,-43.609709971032004,0.5446265938069217,360.1595054111238,543.2325389194583,0.6629932480250826,0.8181126206582529
20,-167530.00184826553,9560,-17.52405877073907,0.5710251046025104,401.7026916743253,597.2735313002042,0.6725606788565686,0.9290254923780383
