symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
CL,Fri,00:00,0,IPS_TM_11,18,-279.9999937415123,-15.555555207861794,365.4364306959565,10,55.55555555555556
CL,Fri,01:00,1,TS_5,10,439.9999901652336,43.99999901652336,300.081463711756,7,70.0
CL,Fri,02:00,2,PB_2,10,1239.9999722838402,123.99999722838402,334.30524226212594,8,80.0
CL,Fri,03:00,3,TM_9,10,5999.999865889549,599.9999865889549,440.9081438459068,10,100.0
CL,Fri,04:00,4,TM_2,32,7239.999838173389,226.24999494291842,610.0383246627143,25,78.125
CL,Fri,05:00,5,TS_6,78,-1099.999975413084,-14.102563787347231,338.8384816974703,56,71.7948717948718
CL,Fri,06:00,6,3Q_sim19,19,449.9999899417162,23.68420999693243,465.3458648632601,14,73.68421052631578
CL,Fri,07:00,7,3Q_sim15,33,399.9999910593033,12.121211850281918,423.2888810715514,22,66.66666666666666
CL,Fri,08:00,8,3Q_sim16,22,479.99998927116394,21.818181330507453,353.5080759777095,17,77.27272727272727
CL,Fri,09:00,9,3Q_sim16,32,919.9999794363976,28.749999357387424,398.4546673523339,26,81.25
CL,Fri,10:00,10,TM_2,62,1909.9999573081732,30.806450924325375,600.211147205848,50,80.64516129032258
CL,Fri,11:00,11,3Q_sim16,12,-239.99999463558197,-19.999999552965164,294.83430743609347,9,75.0
CL,Fri,12:00,12,TM_2,27,-1209.9999729543924,-44.814813813125646,444.9145918038573,20,74.07407407407408
CL,Fri,13:00,13,3Q_sim7,10,629.9999859184027,62.99999859184027,412.01536267225805,8,80.0
CL,Fri,14:00,14,3Q_sim19,27,659.9999852478504,24.444443898068535,329.3622357376089,19,70.37037037037037
CL,Fri,15:00,15,IPS_TM_7,18,-659.9999852478504,-36.6666658471028,300.8223954456459,10,55.55555555555556
CL,Mon,00:00,0,TM_2,25,-1019.9999772012234,-40.799999088048935,424.54798544169245,18,72.0
CL,Mon,01:00,1,IPS_TM_7,19,5399.999879300594,284.2105199631892,1190.12282321748,15,78.94736842105263
CL,Mon,02:00,2,TS_6,87,3749.9999161809683,43.103447312424926,589.6832095141671,66,75.86206896551724
CL,Mon,03:00,3,TM_2,66,2099.9999530613422,31.818181106990036,401.71902444869966,49,74.24242424242425
CL,Mon,04:00,4,3Q_sim16,23,2529.9999434500933,109.9999975413084,215.89138200841225,20,86.95652173913044
CL,Mon,05:00,5,3Q_sim7,25,5489.999877288938,219.5999950915575,428.2180034390884,20,80.0
CL,Mon,06:00,6,3Q_sim16,21,-549.999987706542,-26.19047560507343,427.12381547894586,17,80.95238095238095
CL,Mon,07:00,7,3Q_sim16,31,-739.9999834597111,-23.870967208377778,460.1063355342267,22,70.96774193548387
CL,Mon,08:00,8,TM_2,72,-179.99999597668648,-2.4999999441206455,409.6743720185888,57,79.16666666666666
CL,Mon,09:00,9,TM_2,135,5399.999879300594,39.99999910593033,535.0101009324816,104,77.03703703703704
CL,Mon,10:00,10,3Q_sim16,21,3639.99991863966,173.33332945903143,368.48789296711686,19,90.47619047619048
CL,Mon,11:00,11,3Q_sim16,38,2519.9999436736107,66.3157879914108,361.3444861774031,29,76.31578947368422
CL,Mon,12:00,12,3Q_sim7,20,1139.9999745190144,56.99999872595072,327.4800041232963,16,80.0
