year_month,mean_pnl,n,total,std_pnl,is_holdout,se,t_stat,roll3
2024-05,59.91379310344828,29,1737.5,132.0502521340643,False,24.521116226400036,2.4433550475546304,
2024-06,-175.44483985765123,281,-49300.0,447.59753284706346,False,26.701430207524915,-6.570615824473998,-57.765523377101474
2024-07,-17.919303797468356,316,-5662.5,425.12346737750113,False,23.91506347730729,-0.7492894097676873,-44.48345018389043
2024-08,-60.13843648208469,307,-18462.5,361.9001702454577,False,20.654733683345786,-2.911605513973545,-84.50086004573477
2024-09,60.408366533864545,251,15162.5,658.6591361013078,False,41.57419602563797,1.4530254895755994,-5.883124581896166
2024-10,-11.877667140825036,703,-8350.0,201.10276100401742,False,7.58473428303816,-1.5659964736519798,-3.8692456963483934
2024-11,-25.05091649694501,491,-12300.0,215.7346784451962,False,9.735969745832,-2.573027356383209,7.826594298698168
2024-12,481.4441506939855,1513,728425.0,1792.8436023702707,False,46.09172284813252,10.445349423806404,148.17185568540515
2025-01,-26.569660861594866,1091,-28987.5,272.71512122496495,False,8.256516319098576,-3.2180231752385935,143.27452444514856
2025-02,-36.98665297741273,974,-36025.0,246.9418417420767,False,7.912526990197542,-4.67444256723974,139.29594561832596
2025-03,-43.19838056680162,1235,-53350.0,530.7900150057374,False,15.103905707976933,-2.860080127750463,-35.58489813526974
2025-04,13.171256454388985,2905,38262.5,1005.4264683613873,False,18.654226501305658,0.7060735782031539,-22.337925696608455
2025-05,-1.3290229885057472,696,-925.0,483.3798246694427,False,18.32246496937089,-0.0725351632942093,-10.45204903363946
2025-06,4.246031746031746,630,2675.0,350.45865783382,False,13.962607141063826,0.30410020873137855,5.362755070638328
2025-07,-43.727355072463766,552,-24137.5,184.45116370241954,True,7.850762885386784,-5.569822412272416,-13.603448771645922
2025-08,-23.385012919896642,387,-9050.0,253.27960564346512,True,12.87492591834478,-1.8163221340618831,-20.955445415442885
2025-09,-28.881195335276967,686,-19812.5,393.4433154015827,True,15.021735585195525,-1.9226270607332785,-31.99785444254579
2025-10,-67.55668257756564,838,-56612.5,335.44355086289085,True,11.587705185857528,-5.830031183397442,-39.94096361091308
2025-11,-23.785971223021583,278,-6612.5,349.62942741892346,True,20.969379570187016,-1.1343192650696745,-40.07461637862139
2025-12,11.69454770755886,807,9437.5,297.75207527827314,True,10.481369459208056,1.1157461582737174,-26.54936869767612
2026-01,15.971428571428572,875,13975.0,464.4459178681487,True,15.701137743102281,1.0172147288144793,1.2933350186552826
2026-02,-70.0,495,-34650.0,346.024998511873,True,15.55266709370322,-4.500835745937156,-14.111341240337524
2026-03,-6.851464435146443,717,-4912.5,387.5702737341315,True,14.474077105800003,-0.47336105680969104,-20.29334528790596
2026-04,-31.046576879910212,891,-27662.5,361.9180028759067,True,12.124709297112616,-2.560603814831557,-35.96601377168555
2026-05,-106.7258883248731,394,-42050.0,248.1611194587923,True,12.502176583193942,-8.536584619060607,-48.20797654664326
2026-06,-46.28099173553719,121,-5600.0,405.8640622823627,True,36.896732934760244,-1.2543384753704325,-61.35115231344017
2026-07,-33.31749049429658,263,-8762.5,236.22416850212014,True,14.566206239089448,-2.287314208478439,-62.10812351823563
