slot_id,mean,std,count,se,t,p,bh_thr,symbol,day_of_week,bucket_idx
260,49.94431382254672,604.1459584418611,8081,6.7206197075870575,7.431504235563793,5.917214933412633e-14,1.0976948408342481e-05,ES,0,25
863,88.59649122807018,608.6347658255999,2622,11.886128262359176,7.453772100763569,6.126698819083704e-14,2.1953896816684962e-05,NQ,3,28
259,49.79510684798446,645.1192624938876,8236,7.108563391235216,7.004946584478842,1.3326198234312828e-12,3.293084522502744e-05,ES,0,24
677,348.2493595217763,1848.8253168692268,1171,54.027818468688565,6.445741645548797,8.390717708869075e-11,4.3907793633369924e-05,FDAX,4,27
716,179.5445991719985,1511.0807837943269,2657,29.3151354749705,6.124638220597518,5.217725663583124e-10,5.488474204171241e-05,NQ,0,23
357,50.1575906146034,896.2820971172513,11422,8.386362749262748,5.980851546042746,1.143094557950792e-09,6.586169045005488e-05,ES,2,28
675,234.90304709141273,1484.4664362774363,1444,39.06490621782727,6.013147600600528,1.1508129390416918e-09,7.683863885839738e-05,FDAX,4,25
718,114.56184567661884,978.3959289709093,2579,19.265885101455297,5.946357775587748,1.5563242085231918e-09,8.781558726673985e-05,NQ,0,25
358,65.0293793609989,1151.1136886047195,10892,11.029717828059535,5.8958334541944994,1.9193052557327618e-09,9.879253567508232e-05,ES,2,29
712,52.47417912748574,763.8020534446632,6487,9.483286530691657,5.533332664541833,1.6324231761077032e-08,0.00010976948408342482,NQ,0,19
719,163.53836262323188,1431.1971886211963,2333,29.630713209961673,5.519217896120409,1.89109385837298e-08,0.00012074643249176729,NQ,0,26
180,178.01586903690819,661.904262995458,378,34.04468171146289,5.228889215227117,1.4163492819255323e-07,0.00013172338090010975,CL,3,40
714,64.25370828182942,772.0258127487627,3236,13.571491054896962,4.734461970458651,1.1453431638376203e-06,0.00014270032930845225,NQ,0,21
282,68.67690058479532,392.03060842610427,684,14.98966495529959,4.581616786605669,2.7424825713631162e-06,0.00015367727771679475,ES,1,0
854,37.38668224299065,817.9227762823444,8560,8.840471320753371,4.229037218323855,1.1856803810497561e-05,0.0001646542261251372,NQ,3,19
223,33.64543080146918,292.4923074923382,1303,8.102932867843412,4.152253430975775,1.753172671192936e-05,0.0001756311745334797,CL,6,36
587,250.2202643171806,2311.040510394068,1135,68.59771152912477,3.6476474030907537,0.00013833705147115396,0.0001866081229418222,FDAX,2,27
715,72.08934841982052,1009.4298725804451,2563,19.93893005121173,3.6155073634675547,0.00015277060229137152,0.00019758507135016464,NQ,0,22
901,27.661099865047234,601.747987519827,5928,7.8155680532705984,3.5392308884664923,0.00020218601977786989,0.00020856201975850714,NQ,4,19
906,60.18006148440931,817.8638283533628,2277,17.139552781037096,3.5111803821971064,0.00022740097525612596,0.00023051591657519209,NQ,4,24
648,306.6666666666667,933.625654502434,120,85.2279718727513,3.5981927051430023,0.00023402336746029706,0.00024149286498353458,FDAX,3,46
