slot_id,symbol,day,bucket_idx,mean_pnl_6mo,t_stat,n_6mo,pos_recent_3mo
241,ES,Mon,6,120.7909460834181,5.613742407831684,983,3
54,CL,Tue,7,105.28707898636327,4.925345346106382,418,2
319,ES,Tue,38,103.73456790123457,4.340329406380692,405,2
238,ES,Mon,3,130.40480427046262,4.102482281478205,562,3
173,CL,Thu,32,120.86021235232712,4.088340164657289,372,2
4,CL,Mon,4,67.94326066696051,3.585296257696552,705,2
771,NQ,Tue,30,78.97181628392484,3.569490795255743,958,3
784,NQ,Tue,44,100.3250773993808,3.58097090326431,323,2
431,ES,Fri,8,45.40462427745665,3.364439645601975,865,2
249,ES,Mon,14,77.58690379951496,3.3403256236124923,1237,2
814,NQ,Wed,26,84.83574244415243,3.2615443247938103,761,3
528,FDAX,Tue,13,242.3507462686567,3.149092368656969,402,2
785,NQ,Tue,45,134.13522012578616,3.1530246763431395,318,2
761,NQ,Tue,20,52.835723598435465,3.0423682573864403,2301,2
581,FDAX,Wed,21,204.14110429447854,2.8904866231286994,489,2
493,FDAX,Mon,23,154.28348909657322,2.8086305608750077,642,2
364,ES,Wed,36,81.36882129277566,2.781401819311554,526,2
16,CL,Mon,16,49.99999888241291,2.701279260827787,691,2
881,NQ,Thu,47,65.76712328767124,2.6958612247383438,365,2
327,ES,Tue,46,78.5216718266254,2.6494322023873518,323,2
882,NQ,Fri,0,60.953125,2.605289837730753,320,3
169,CL,Thu,28,36.90168415763171,2.5936025258039366,1007,2
484,FDAX,Mon,14,441.376582278481,2.5501840055779423,316,2
831,NQ,Wed,44,64.0,2.348947191971869,400,2
812,NQ,Wed,24,51.17088607594937,2.3414995085608434,790,3
741,NQ,Tue,0,54.504950495049506,2.2666858756972994,303,2
532,FDAX,Tue,17,140.09146341463415,2.140480404112031,492,3
929,NQ,Sun,47,65.18072289156626,2.065337246791902,332,3
757,NQ,Tue,16,51.19834710743802,2.056545230242913,605,2
770,NQ,Tue,29,46.94543297746145,2.022788704370395,843,3
872,NQ,Thu,38,58.15649867374005,1.9856454193261792,377,2
793,NQ,Wed,5,41.27062706270627,1.9548337973723977,303,3
813,NQ,Wed,25,43.403990024937656,1.923233079261818,802,2
147,CL,Thu,6,37.0673068637888,1.8483026796355124,416,2
912,NQ,Fri,30,39.34659090909091,1.8050786009127306,704,2
196,CL,Fri,8,37.394365361353884,1.779975785340162,426,3
698,NQ,Mon,5,61.03693181818182,1.7627149142790914,352,2
711,NQ,Mon,18,44.13768115942029,1.6489261087066258,690,2
579,FDAX,Wed,19,111.85,1.5732538272650034,500,3
26,CL,Mon,26,29.6296289673558,1.5702640166283286,783,2
490,FDAX,Mon,20,85.49488054607508,1.5678915077939792,586,2
779,NQ,Tue,39,40.196850393700785,1.540053395406886,254,2
