symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
NQ,Tue,21:00,21,V_sim16,371,9549.5,11930.0,25.74,393.64216893146676,292,78.7
NQ,Tue,22:00,22,TM_U-D-1_1,247,24112.5,25575.0,97.62,637.1996609794598,177,71.7
NQ,Tue,23:00,23,IPS_TM_5dupli,8,2686.0,2740.0,335.75,517.1599642000805,7,87.5
NQ,Wed,00:00,0,TM_D-R-1_1,350,8456.0,10760.0,24.16,242.00258138763903,272,77.7
NQ,Wed,01:00,1,TM_7,6,7593.0,7620.0,1265.5,209.76176963403032,6,100.0
NQ,Wed,02:00,2,TM_D-R-1_2,355,23441.5,25705.0,66.03,712.6553530257303,275,77.5
NQ,Wed,03:00,3,TM_D-R-1_2,362,13388.5,15670.0,36.98,505.77237954145534,273,75.4
NQ,Wed,04:00,4,TS_4,31,16088.0,16250.0,518.97,792.6526975446001,27,87.1
NQ,Wed,05:00,5,IPS_TM_5dupli,15,5123.5,5245.0,341.57,1256.7289721828686,11,73.3
NQ,Wed,06:00,6,TS_3,25,10211.5,10360.0,408.46,903.4080026027369,21,84.0
NQ,Wed,07:00,7,IPS_TM_5,96,3462.0,4200.0,36.06,203.50807885166316,63,65.6
NQ,Wed,08:00,8,V_sim16,426,17469.5,20120.0,41.01,614.367565246129,331,77.7
NQ,Wed,09:00,9,IPS_TM_6,148,9698.0,10715.0,65.53,558.0155551674058,100,67.6
NQ,Wed,10:00,10,TM_10,293,37383.5,39665.0,127.59,800.8117086954172,206,70.3
NQ,Wed,11:00,11,TM_U-D-1_1,1071,13915.5,20490.0,12.99,543.8183264171746,730,68.2
NQ,Wed,12:00,12,TM_6,78,9252.5,9725.0,118.62,594.9459933249067,57,73.1
NQ,Wed,13:00,13,TM_U-D-1_1,827,66958.0,71710.0,80.96,586.4850100810108,609,73.6
NQ,Wed,14:00,14,TM_D-R-1_2,347,13040.5,15295.0,37.58,1099.6849269480535,257,74.1
NQ,Wed,15:00,15,TM_6,103,56558.0,57215.0,549.11,1858.3915268086387,80,77.7
NQ,Wed,16:00,16,V_sim16,323,36847.5,39120.0,114.08,594.4996675968807,236,73.1
NQ,Wed,17:00,17,TM_10,7,364.5,405.0,52.07,289.9148479254194,5,71.4
NQ,Wed,18:00,18,V_sim16,293,12990.0,14970.0,44.33,675.5206039612518,225,76.8
NQ,Wed,19:00,19,V_sim16,319,12960.0,15030.0,40.63,368.4763806642041,253,79.3
NQ,Wed,20:00,20,TS_6,37,10175.5,10405.0,275.01,867.1236174086528,27,73.0
