symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
NQ,Thu,10:00,10,V500_sim10,70,164649.0,165090.0,2352.13,2956.19791639717,47,67.1
NQ,Thu,11:00,11,TS_3,423,134975.0,138080.0,319.09,2213.305895793921,289,68.3
NQ,Thu,12:00,12,TM_U-D-1_1,1378,82912.5,90990.0,60.17,681.6703911462953,983,71.3
NQ,Thu,13:00,13,TS_3,736,52766.0,57905.0,71.69,1148.6406583632906,505,68.6
NQ,Thu,14:00,14,TM_D-R-1_2,380,75552.5,77915.0,198.82,1065.604409066678,296,77.9
NQ,Thu,15:00,15,TM_U-D-1_1,777,39171.0,43860.0,50.41,562.9265832472456,537,69.1
NQ,Thu,16:00,16,TS_5,149,11733.5,13070.0,78.75,772.171459096869,84,56.4
NQ,Thu,17:00,17,TM_10,6,1182.5,1250.0,197.08,783.252603996097,4,66.7
NQ,Thu,18:00,18,IPS_TM_8,26,4603.5,4770.0,177.06,226.80213080670458,24,92.3
NQ,Thu,19:00,19,A_sim15,20,2800.5,2895.0,140.02,258.032610903106,15,75.0
NQ,Thu,20:00,20,TM_D-R-1_1,442,8738.5,11605.0,19.77,479.7837450818509,318,71.9
NQ,Thu,21:00,21,TM_D-R-1_2,308,13201.5,15150.0,42.86,707.4371022916923,220,71.4
NQ,Thu,22:00,22,V_sim16,352,8084.0,10370.0,22.97,326.7851284896853,266,75.6
NQ,Thu,23:00,23,TM_D-R-1_2,341,18984.5,21185.0,55.67,532.4571034690711,253,74.2
NQ,Tue,00:00,0,TM_11,11,4947.0,5010.0,449.73,672.1885287490543,7,63.6
NQ,Tue,01:00,1,IPS_TM_12,21,5524.5,5655.0,263.07,497.97663814967984,17,81.0
NQ,Tue,02:00,2,TS_6,47,7257.5,7595.0,154.41,506.98919805778013,35,74.5
NQ,Tue,03:00,3,TS_6,126,23566.5,24390.0,187.04,655.2871437120415,105,83.3
NQ,Tue,04:00,4,TM_7,34,4643.5,4900.0,136.57,618.0730334941173,26,76.5
NQ,Tue,05:00,5,IPS_TM_8,62,8350.0,8890.0,134.68,494.17679600651405,41,66.1
NQ,Tue,06:00,6,TM_1,17,3553.5,3675.0,209.03,680.1114906439109,11,64.7
NQ,Tue,07:00,7,IPS_TM_7,54,6641.0,6965.0,122.98,683.0040053679825,39,72.2
NQ,Tue,08:00,8,TM_D-R-1_1,471,22403.5,25360.0,47.57,493.47083157598956,370,78.6
NQ,Tue,09:00,9,TS_3,461,21850.5,25095.0,47.4,775.5036991589556,325,70.5
NQ,Tue,10:00,10,TM_9,90,7138.0,8110.0,79.31,375.9025661005771,61,67.8
NQ,Tue,11:00,11,TM_U-D-1_1,1280,25315.5,32565.0,19.78,400.7892131360912,906,70.8
NQ,Tue,12:00,12,TS_3,462,21120.0,24180.0,45.71,675.0391131685676,337,72.9
NQ,Tue,13:00,13,IPS_TM_10,61,3651.0,4110.0,59.85,359.78191709541557,46,75.4
NQ,Tue,14:00,14,TM_U-D-1_1,763,21335.5,25885.0,27.96,388.8102540175635,553,72.5
NQ,Tue,15:00,15,TS_5,970,31400.5,39865.0,32.37,547.1868291320659,570,58.8
NQ,Tue,16:00,16,TM_D-R-1_2,250,8693.0,10655.0,34.77,779.9335300274274,165,66.0
NQ,Tue,17:00,17,TS_6,6,1589.5,1630.0,264.92,358.393417443271,4,66.7
NQ,Tue,18:00,18,IPS_TM_7,33,8090.5,8275.0,245.17,922.3567526541271,25,75.8
NQ,Tue,19:00,19,V_sim16,335,8826.0,10995.0,26.35,433.970399777153,257,76.7
NQ,Tue,20:00,20,TM_D-R-1_2,399,47852.0,50345.0,119.93,533.3357068665226,303,75.9
NQ,Tue,21:00,21,V_sim16,372,9900.0,12285.0,26.61,393.47173993764017,293,78.8
NQ,Tue,22:00,22,TM_U-D-1_1,253,23886.5,25385.0,94.41,630.7494662970033,182,71.9
NQ,Tue,23:00,23,IPS_TM_5dupli,8,2686.0,2740.0,335.75,517.1599642000805,7,87.5
NQ,Wed,00:00,0,TM_D-R-1_1,359,8662.0,11020.0,24.13,238.99963538604743,279,77.7
NQ,Wed,01:00,1,TM_7,6,7593.0,7620.0,1265.5,209.76176963403032,6,100.0
NQ,Wed,02:00,2,TM_D-R-1_2,355,23441.5,25705.0,66.03,712.6553530257303,275,77.5
NQ,Wed,03:00,3,TM_D-R-1_2,362,13388.5,15670.0,36.98,505.77237954145534,273,75.4
NQ,Wed,04:00,4,TS_4,31,16088.0,16250.0,518.97,792.6526975446001,27,87.1
NQ,Wed,05:00,5,IPS_TM_5dupli,15,5123.5,5245.0,341.57,1256.7289721828686,11,73.3
NQ,Wed,06:00,6,TS_3,25,10211.5,10360.0,408.46,903.4080026027369,21,84.0
NQ,Wed,07:00,7,IPS_TM_5,96,3462.0,4200.0,36.06,203.50807885166316,63,65.6
NQ,Wed,08:00,8,V_sim16,428,17600.5,20260.0,41.12,612.9480797763819,332,77.6
NQ,Wed,09:00,9,IPS_TM_6,152,9897.0,10950.0,65.11,550.8094230503755,103,67.8
NQ,Wed,10:00,10,TM_6,118,33343.0,34180.0,282.57,952.9222036103288,77,65.3
NQ,Wed,11:00,11,TM_U-D-1_1,1154,19316.0,26300.0,16.74,524.727975590144,808,70.0
NQ,Wed,12:00,12,TM_6,79,9164.0,9650.0,116.0,591.5790798298294,57,72.2
NQ,Wed,13:00,13,TM_U-D-1_1,891,69471.0,74565.0,77.97,566.4531379625863,665,74.6
NQ,Wed,14:00,14,TM_D-R-1_2,347,13040.5,15295.0,37.58,1099.6849269480535,257,74.1
NQ,Wed,15:00,15,TM_6,107,56247.0,56940.0,525.67,1826.9361622812553,81,75.7
NQ,Wed,16:00,16,V_sim16,329,36571.5,38925.0,111.16,589.4292360461228,236,71.7
NQ,Wed,17:00,17,TM_10,9,67.5,135.0,7.5,288.9922144280015,6,66.7
NQ,Wed,18:00,18,V_sim16,293,12990.0,14970.0,44.33,675.5206039612518,225,76.8
NQ,Wed,19:00,19,V_sim16,320,12955.5,15030.0,40.49,367.90702700903825,253,79.1
NQ,Wed,20:00,20,TS_6,37,10175.5,10405.0,275.01,867.1236174086528,27,73.0
NQ,Wed,21:00,21,TM_D-R-1_2,320,5981.5,8110.0,18.69,485.4685563636129,225,70.3
NQ,Wed,22:00,22,IPS_TM_7,34,4030.0,4210.0,118.53,576.6275903012387,26,76.5
NQ,Wed,23:00,23,TM_D-R-1_2,302,4318.0,6190.0,14.3,513.9785185565328,226,74.8
