slot_id,year_month,mean_pnl,n_trades,total_pnl,label,is_holdout
180,2024-05,6.666666517655055,15,99.99999776482582,CL Thu Bkt40,False
180,2024-06,-113.33333080013593,6,-679.9999848008156,CL Thu Bkt40,False
180,2024-09,-119.99999731779099,1,-119.99999731779099,CL Thu Bkt40,False
180,2024-10,-341.9999923557043,10,-3419.999923557043,CL Thu Bkt40,False
180,2024-11,69.99999843537807,6,419.99999061226845,CL Thu Bkt40,False
180,2024-12,-59.99999865889549,2,-119.99999731779099,CL Thu Bkt40,False
180,2025-01,28.749999357387424,8,229.9999948590994,CL Thu Bkt40,False
180,2025-02,14.999999664723873,4,59.99999865889549,CL Thu Bkt40,False
180,2025-03,-209.99999530613422,2,-419.99999061226845,CL Thu Bkt40,False
180,2025-04,-138.57142547411578,7,-969.9999783188105,CL Thu Bkt40,False
180,2025-05,31.764705172356436,17,539.9999879300594,CL Thu Bkt40,False
180,2025-06,238.8999946601689,300,71669.99839805067,CL Thu Bkt40,False
180,2025-07,-115.99999740719795,10,-1159.9999740719795,CL Thu Bkt40,True
180,2025-08,-31.66666595886151,6,-189.99999575316906,CL Thu Bkt40,True
180,2025-09,-173.33332945903143,3,-519.9999883770943,CL Thu Bkt40,True
180,2025-10,-78.33333158244689,12,-939.9999789893627,CL Thu Bkt40,True
180,2025-11,-254.99999430030584,4,-1019.9999772012234,CL Thu Bkt40,True
180,2025-12,-145.83333007370433,12,-1749.9999608844519,CL Thu Bkt40,True
180,2026-01,-174.44444054530726,9,-1569.9999649077654,CL Thu Bkt40,True
180,2026-02,-33.333332588275276,21,-699.9999843537807,CL Thu Bkt40,True
180,2026-03,-88.5542148881289,83,-7349.999835714698,CL Thu Bkt40,True
180,2026-04,-806.6666486362616,6,-4839.99989181757,CL Thu Bkt40,True
180,2026-05,-171.8181779777462,22,-3779.999915510416,CL Thu Bkt40,True
180,2026-06,-359.99999195337296,2,-719.9999839067459,CL Thu Bkt40,True
180,2026-07,-317.499992903322,8,-2539.999943226576,CL Thu Bkt40,True
223,2024-05,-239.99999463558197,3,-719.9999839067459,CL Sun Bkt36,False
223,2024-06,39.57894648376264,95,3759.999915957451,CL Sun Bkt36,False
223,2024-07,9.1666664617757,48,439.9999901652336,CL Sun Bkt36,False
223,2024-08,-33.99999924004078,55,-1869.9999582022429,CL Sun Bkt36,False
223,2024-09,77.11110938754346,45,3469.999922439456,CL Sun Bkt36,False
223,2024-10,24.113207008197623,265,6389.99985717237,CL Sun Bkt36,False
223,2024-11,-99.55555333031549,45,-4479.999899864197,CL Sun Bkt36,False
223,2024-12,-149.99999664723873,17,-2549.9999430030584,CL Sun Bkt36,False
223,2025-01,-10.491803044178447,61,-639.9999856948853,CL Sun Bkt36,False
223,2025-02,54.216866258038095,166,8999.999798834324,CL Sun Bkt36,False
223,2025-03,-32.76595671443229,47,-1539.9999655783176,CL Sun Bkt36,False
223,2025-04,71.02562566483634,195,13849.997004643086,CL Sun Bkt36,False
223,2025-05,58.88888757261965,135,7949.999822303653,CL Sun Bkt36,False
223,2025-06,85.55555364323988,126,10779.999759048223,CL Sun Bkt36,False
223,2025-07,-110.62499752733856,16,-1769.999960437417,CL Sun Bkt36,True
223,2025-08,-229.9999948590994,5,-1149.999974295497,CL Sun Bkt36,True
223,2025-09,-34.99999921768904,20,-699.9999843537807,CL Sun Bkt36,True
223,2025-11,-24.107142318306224,56,-1349.9999698251486,CL Sun Bkt36,True
223,2025-12,-109.9999975413084,8,-879.9999803304672,CL Sun Bkt36,True
223,2026-01,-43.703702726849805,27,-1179.9999736249447,CL Sun Bkt36,True
223,2026-02,62.352939782773745,34,2119.9999526143074,CL Sun Bkt36,True
223,2026-03,128.67230711957322,708,91099.99344065784,CL Sun Bkt36,True
223,2026-04,20.833332867672045,156,3249.999927356839,CL Sun Bkt36,True
223,2026-05,-122.27544636872715,167,-20419.999543577433,CL Sun Bkt36,True
223,2026-06,-7.999999821186066,25,-199.99999552965164,CL Sun Bkt36,True
223,2026-07,-50.71428458073309,28,-1419.9999682605267,CL Sun Bkt36,True
259,2024-05,-144.79166666666666,12,-1737.5,ES Mon Bkt24,False
259,2024-06,68.17781690140845,284,19362.5,ES Mon Bkt24,False
259,2024-07,-52.65507518796993,532,-28012.5,ES Mon Bkt24,False
259,2024-08,582.2411533420708,763,444250.0,ES Mon Bkt24,False
259,2024-09,84.75,50,4237.5,ES Mon Bkt24,False
259,2024-10,-19.243986254295532,291,-5600.0,ES Mon Bkt24,False
259,2024-11,-13.255494505494505,546,-7237.5,ES Mon Bkt24,False
259,2024-12,-26.92687747035573,506,-13625.0,ES Mon Bkt24,False
259,2025-01,104.40789473684211,1140,119025.0,ES Mon Bkt24,False
259,2025-02,0.5717916137229987,787,450.0,ES Mon Bkt24,False
259,2025-03,-32.329612220916566,851,-27512.5,ES Mon Bkt24,False
259,2025-04,-50.73481912144703,1548,-78537.5,ES Mon Bkt24,False
259,2025-05,27.582908163265305,392,10812.5,ES Mon Bkt24,False
259,2025-06,-48.24438202247191,534,-25762.5,ES Mon Bkt24,False
259,2025-07,0.3467153284671533,685,237.5,ES Mon Bkt24,True
259,2025-08,-45.70035460992908,564,-25775.0,ES Mon Bkt24,True
259,2025-09,-58.73076923076923,325,-19087.5,ES Mon Bkt24,True
259,2025-10,-58.66935483870968,310,-18187.5,ES Mon Bkt24,True
259,2025-11,25.88105726872247,681,17625.0,ES Mon Bkt24,True
259,2025-12,-41.15296803652968,657,-27037.5,ES Mon Bkt24,True
259,2026-01,-37.035472972972975,296,-10962.5,ES Mon Bkt24,True
259,2026-02,-28.718130311614733,353,-10137.5,ES Mon Bkt24,True
259,2026-03,-21.235163204747774,674,-14312.5,ES Mon Bkt24,True
259,2026-04,-47.57532956685499,531,-25262.5,ES Mon Bkt24,True
259,2026-05,-22.014003294892916,607,-13362.5,ES Mon Bkt24,True
259,2026-06,53.08988764044944,89,4725.0,ES Mon Bkt24,True
259,2026-07,-67.03767123287672,292,-19575.0,ES Mon Bkt24,True
260,2024-05,-206.94444444444446,9,-1862.5,ES Mon Bkt25,False
260,2024-06,-2.93859649122807,285,-837.5,ES Mon Bkt25,False
260,2024-07,-49.713740458015266,393,-19537.5,ES Mon Bkt25,False
260,2024-08,627.3181169757489,701,439750.0,ES Mon Bkt25,False
260,2024-09,1.2254901960784315,102,125.0,ES Mon Bkt25,False
260,2024-10,-42.78350515463917,194,-8300.0,ES Mon Bkt25,False
260,2024-11,-27.582046332046332,518,-14287.5,ES Mon Bkt25,False
260,2024-12,-23.178506375227688,549,-12725.0,ES Mon Bkt25,False
260,2025-01,20.337407013815092,941,19137.5,ES Mon Bkt25,False
260,2025-02,-2.858664772727273,704,-2012.5,ES Mon Bkt25,False
260,2025-03,-2.755801687763713,948,-2612.5,ES Mon Bkt25,False
260,2025-04,-1.875,1480,-2775.0,ES Mon Bkt25,False
260,2025-05,25.464989059080963,457,11637.5,ES Mon Bkt25,False
260,2025-06,-2.625,800,-2100.0,ES Mon Bkt25,False
260,2025-07,-19.283681214421254,527,-10162.5,ES Mon Bkt25,True
260,2025-08,-32.75590551181102,635,-20800.0,ES Mon Bkt25,True
260,2025-09,-56.23065015479876,323,-18162.5,ES Mon Bkt25,True
260,2025-10,-56.717289719626166,214,-12137.5,ES Mon Bkt25,True
260,2025-11,-34.37079407806191,743,-25537.5,ES Mon Bkt25,True
260,2025-12,-27.274590163934427,610,-16637.5,ES Mon Bkt25,True
260,2026-01,-67.41245136186771,257,-17325.0,ES Mon Bkt25,True
260,2026-02,-42.179951690821255,414,-17462.5,ES Mon Bkt25,True
260,2026-03,-90.83333333333333,600,-54500.0,ES Mon Bkt25,True
