slot_id,symbol,day,bucket_idx,mean_pnl_6mo,t_stat,n_6mo,pos_recent_3mo,label
241,ES,Mon,6,120.7909460834181,5.613742407831684,983,3,ES Mon Bkt6
54,CL,Tue,7,105.28707898636328,4.925345346106382,418,2,CL Tue Bkt7
319,ES,Tue,38,103.73456790123456,4.340329406380692,405,2,ES Tue Bkt38
238,ES,Mon,3,130.40480427046262,4.102482281478205,562,3,ES Mon Bkt3
173,CL,Thu,32,120.86021235232712,4.088340164657289,372,2,CL Thu Bkt32
