month,n_trades,total_pnl,cumulative_pnl
2025-07,4790,-58132.5,-58132.5
2025-08,3809,-87897.5,-146030.0
2025-09,3420,-119837.5,-265867.5
2025-10,4051,-73192.5,-339060.0
2025-11,3506,-33375.0,-372435.0
2025-12,4850,-119975.0,-492410.0
2026-01,4662,28447.5,-463962.5
2026-02,5006,-166847.5,-630810.0
2026-03,6423,-274767.51,-905577.51
2026-04,5441,-182590.0,-1088167.51
2026-05,4453,-268127.5,-1356295.01
2026-06,2649,-142300.0,-1498595.01
2026-07,4202,-30190.0,-1528785.01
