NCP Model -- Fold 1
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 12.6162  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                        mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha               -44.9428   0.4208 -45.4960  -44.4312    4.3417    4.0323   7.3647
beta_slot_raw[0]      0.2813   0.1060   0.1612    0.4215    4.2679    4.0323   4.3661
beta_slot_raw[1]      0.1084   0.5766  -0.8038    0.6814    4.3126    4.0323   8.4368
beta_slot_raw[2]      0.6523   0.2670   0.2559    0.9853    4.1936   17.7962   5.4434
beta_slot_raw[3]      0.2379   0.5278  -0.6239    0.8085    4.2364   20.5386   4.7298
beta_slot_raw[4]      0.0425   0.6435  -0.7536    0.9469    4.1643   12.5907  12.6162
beta_slot_raw[5]      0.0192   0.7700  -0.7591    0.8063    4.3324   11.2747   4.1881
beta_slot_raw[6]      0.0877   0.2324  -0.1608    0.3340    4.3423   26.9930   3.8589
beta_slot_raw[7]     -0.0704   0.6770  -0.8874    0.9927    4.2656    4.0323   4.3671
beta_slot_raw[8]     -0.0897   0.7354  -0.9525    0.7863    4.3044   28.9534   8.4056
beta_slot_raw[9]     -0.2449   0.3194  -0.5903    0.2625    4.2317   13.6784   4.8619
beta_slot_raw[10]     0.0094   0.3053  -0.2658    0.5072    4.3402    4.0323   3.8109
beta_slot_raw[11]    -0.2869   0.4174  -0.7736    0.3274    4.2535    4.0323   4.5043
beta_slot_raw[12]     0.1249   0.8614  -0.8783    0.9921    4.1729   13.0875   5.7923
beta_slot_raw[13]    -0.2235   0.4749  -0.7700    0.4098    4.2425    4.0323   4.5650
beta_slot_raw[14]     0.4947   0.4916  -0.3483    0.8769    4.2591   13.4916   4.5276
beta_slot_raw[15]     0.2178   0.6153  -0.8072    0.8054    4.1916    4.0323   9.9790
beta_slot_raw[16]    -0.1996   0.5231  -0.8112    0.4971    4.2738   26.4077   7.7899
beta_slot_raw[17]     0.4127   0.4375  -0.2578    0.9671    4.3735   13.3316   5.1032
beta_slot_raw[18]     0.2273   0.3944  -0.1551    0.8050    4.2541    4.0323   4.5255
beta_slot_raw[19]    -0.4481   0.3183  -0.8804   -0.0047    4.1691    4.0323   5.6585
beta_slot_raw[20]    -0.0316   0.6574  -0.7517    0.7808    4.2358   11.4212   5.3408
beta_slot_raw[21]    -0.5760   0.4829  -0.8867    0.2595    4.3092   14.0758   4.5384
beta_slot_raw[22]    -0.2941   0.1820  -0.5510   -0.0792    4.4441   11.7764   3.5968
beta_slot_raw[23]     0.0871   0.5912  -0.7912    0.8747    4.1979   12.6020   9.0223
beta_slot_raw[24]    -0.2000   0.2542  -0.5645    0.1015    4.3374    4.0323   6.8282
beta_slot_raw[25]    -0.5328   0.2394  -0.7512   -0.1378    4.0953    4.0323   8.3642
beta_slot_raw[26]    -0.2630   0.5642  -0.9751    0.4695    4.2992   11.2832   5.1619
beta_slot_raw[27]     0.4595   0.3679  -0.1297    0.8486    4.1880    4.0323   8.1796
beta_slot_raw[28]    -0.1629   0.7056  -0.9652    0.9475    4.4678   13.6865   4.0545
beta_slot_raw[29]    -0.2782   0.6159  -0.9482    0.6731    4.2161   11.2718   8.0493
beta_slot_raw[30]    -0.3782   0.4995  -0.9118    0.3085    4.3178    4.0323   4.0989
beta_slot_raw[31]    -0.4005   0.3626  -0.7751    0.1603    4.1670   11.4344  11.9923
beta_slot_raw[32]    -0.1368   0.4150  -0.6154    0.5069    4.0926    4.0323   8.5253
beta_slot_raw[33]    -0.4882   0.4163  -0.8933    0.0570    4.3287    4.0323   3.9579
beta_slot_raw[34]     0.2065   0.2798  -0.1369    0.4946    4.3107    4.0323   4.6768
beta_slot_raw[35]    -0.4859   0.4371  -0.9539    0.1934    4.1721   11.8537   9.5680
beta_slot_raw[36]    -0.5365   0.4491  -1.0214    0.1468    4.2347   17.6575   9.8111
