NCP Model -- Fold 2
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6634  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail    r_hat
alpha              -39.0892   0.3229 -39.5458  -38.7118    4.3214     4.0323   9.4550
beta_bkt_raw[47]     0.4758   0.3551   0.1224    0.9959    4.1707     4.0323   6.0200
beta_slot_raw[0]    -0.1282   0.5957  -0.8374    0.4795    4.0779     4.0323   9.8355
beta_slot_raw[1]     0.3400   0.4112  -0.1340    0.7542    4.0725     4.0323  10.3611
beta_slot_raw[2]    -0.0395   0.5732  -0.9689    0.4806    4.0813     4.0323   9.4238
beta_slot_raw[3]    -0.1941   0.5252  -0.9028    0.5523    4.2756    22.2504  10.3771
beta_slot_raw[4]    -0.3298   0.5194  -0.8280    0.4986    4.1586    15.1816  18.4514
beta_slot_raw[5]    -0.2559   0.7103  -0.9015    0.9439    4.2117    11.7719  12.6796
beta_slot_raw[6]    -0.5844   0.3913  -0.8495    0.0911    4.0633     4.0323  11.6634
beta_slot_raw[7]    -0.1464   0.4950  -0.8359    0.5121    4.2771     4.0323   9.3559
beta_slot_raw[8]    -0.1879   0.6844  -0.8633    0.9301    4.0666     4.0323  11.2976
beta_slot_raw[9]    -0.1069   0.7257  -0.9763    0.8293    4.0820     4.0323   9.4685
beta_slot_raw[10]    0.0160   0.5209  -0.6394    0.6444    4.1438     4.0323  16.8193
beta_slot_raw[11]    0.0759   0.3821  -0.5489    0.4562    4.3037     4.0323   9.7137
beta_slot_raw[12]   -0.1055   0.3018  -0.5963    0.1512    4.0801     4.0323   9.6386
beta_slot_raw[13]    0.1735   0.5257  -0.3505    0.9743    4.2449    15.3115   9.7838
beta_slot_raw[14]   -0.0440   0.2064  -0.2403    0.2935    4.3477     4.0323   4.1936
beta_slot_raw[15]    0.4885   0.2774   0.0675    0.8468    4.2371    16.3801   4.7904
beta_slot_raw[16]   -0.4566   0.3823  -0.7727    0.1945    4.2105    17.4248  12.8166
beta_slot_raw[17]    0.1974   0.6059  -0.8384    0.6968    4.0491     4.0323  16.3088
beta_slot_raw[18]   -0.5061   0.3981  -0.9831    0.1137    4.2483     4.0323   4.5339
beta_slot_raw[19]   -0.3192   0.1236  -0.5306   -0.2176    4.2950     4.0323   9.7425
beta_slot_raw[20]   -0.1524   0.6227  -0.8512    0.7177    4.1508     4.0323   5.9945
beta_slot_raw[21]    0.2831   0.5027  -0.3477    0.9192    4.2977    39.7640   8.9633
beta_slot_raw[22]   -0.1778   0.4894  -0.8059    0.3910    4.0487     4.0323  16.0184
beta_slot_raw[23]    0.0859   0.5663  -0.6452    0.9440    4.0813     4.0323   9.4122
beta_slot_raw[24]   -0.0748   0.3687  -0.6856    0.2196    4.0642     4.0323  11.7102
beta_slot_raw[25]    0.2098   0.5883  -0.7296    0.8663    4.0810     4.0323   9.4170
beta_slot_raw[26]   -0.0897   0.6196  -0.7815    0.8645    4.1523     4.0323   5.9655
beta_slot_raw[27]   -0.1236   0.6703  -0.7471    0.8740    4.3060     4.0323   4.0909
beta_slot_raw[28]   -0.3075   0.3271  -0.6058    0.2456    4.0517  4000.0000  15.0608
beta_slot_raw[29]    0.1180   0.3012  -0.3436    0.3991    4.0448     4.0323  18.6634
beta_slot_raw[30]   -0.1049   0.2877  -0.3591    0.3508    4.1543    14.6771  16.8366
beta_slot_raw[31]    0.5558   0.1969   0.2507    0.7719    4.3115    35.6463   4.3931
beta_slot_raw[32]   -0.0835   0.3287  -0.6491    0.1395    4.0779     4.0323   9.8109
beta_slot_raw[33]    0.0867   0.6040  -0.6188    0.9900    4.2548    14.8840   9.9327
beta_slot_raw[34]    0.0993   0.1866  -0.1080    0.3941    4.0462     4.0323  18.4155
beta_slot_raw[35]    0.2361   0.4895  -0.4731    0.7021    4.0818     4.0323   9.4817
beta_slot_raw[36]    0.3879   0.4398  -0.3398    0.7725    4.2081     4.0323  13.1720
beta_slot_raw[37]   -0.2518   0.5568  -0.8920    0.3745    4.0781     4.0323   9.8949
beta_slot_raw[38]   -0.0199   0.5940  -0.6241    0.7856    4.0742     4.0323  10.1844
beta_slot_raw[39]    0.1085   0.0912   0.0044    0.2114    4.0530     4.0323  14.3402
beta_slot_raw[40]    0.2862   0.3781  -0.3352    0.6512    4.0766     4.0323   9.8639
beta_slot_raw[41]   -0.0708   0.2324  -0.3404    0.1982    4.3106    26.2560   4.1019
beta_slot_raw[42]    0.0559   0.6365  -0.9002    0.6350    4.0791     4.0323   9.5333
beta_slot_raw[43]   -0.1222   0.3764  -0.6502    0.3945    4.0793     4.0323  10.0140
beta_slot_raw[44]    0.0827   0.1238  -0.1295    0.1819    4.0749     4.0323  10.0718
beta_slot_raw[45]    0.1783   0.5587  -0.7641    0.6656    4.0823     4.0323   9.4601
beta_slot_raw[46]    0.3076   0.3294   0.0529    0.8707    4.0820     4.0323   9.4039
beta_slot_raw[47]   -0.3397   0.2756  -0.7150    0.0218    4.0451     4.0323  18.3688
beta_slot_raw[48]   -0.2115   0.5007  -0.9658    0.3435    4.0515     4.0323  14.8228
beta_slot_raw[49]    0.0406   0.7604  -0.7262    0.8474    4.2977    44.1132   9.2284
beta_slot_raw[50]   -0.0149   0.8543  -0.8946    0.9401    4.0463     4.0323  17.2909
beta_slot_raw[51]   -0.2612   0.7409  -0.9659    0.8810    4.0511     4.0323  15.2142
beta_slot_raw[52]   -0.1121   0.5481  -0.5932    0.7453    4.0804     4.0323   9.4274
beta_slot_raw[53]    0.3571   0.2116   0.0374    0.6198    4.0840     4.0323   9.4147
beta_slot_raw[54]    0.0470   0.3810  -0.3054    0.6650    4.3458    75.6276   8.5352
beta_slot_raw[55]    0.1256   0.5096  -0.6507    0.7364    4.0454     4.0323  18.4760
beta_slot_raw[56]   -0.1644   0.4805  -0.8078    0.3863    4.0805     4.0323   9.6007
beta_slot_raw[57]    0.3915   0.3210  -0.1027    0.6964    4.3350    40.8818   4.0426
beta_slot_raw[58]    0.2061   0.4436  -0.5165    0.6694    4.0767     4.0323   9.8434
beta_slot_raw[59]    0.0498   0.6026  -0.8633    0.7616    4.0813     4.0323   9.6048
beta_slot_raw[60]    0.0941   0.7067  -0.6686    0.9588    4.0814     4.0323   9.5894
beta_slot_raw[61]   -0.3598   0.5668  -0.9972    0.5565    4.2818    36.8797   9.7217
beta_slot_raw[62]    0.2481   0.6940  -0.9233    0.8594    4.0515     4.0323  14.7133
beta_slot_raw[63]    0.1389   0.5389  -0.4978    0.9870    4.0748     4.0323  10.0518
beta_slot_raw[64]   -0.3039   0.4799  -0.8545    0.2553    4.2693     4.0323   4.3264
beta_slot_raw[65]   -0.0162   0.5806  -0.4845    0.9558    4.2395     4.0323   4.7224
beta_slot_raw[66]    0.6934   0.1652   0.4323    0.8592    4.1849    17.9608   5.7397
beta_slot_raw[67]   -0.3347   0.2145  -0.6884   -0.1310    4.0482     4.0323  16.1873
beta_slot_raw[68]    0.3030   0.3882  -0.2902    0.7394    4.2785    19.8595   4.3113
beta_slot_raw[69]    0.2911   0.3474  -0.2367    0.7240    4.1957    11.0612   5.2118
beta_slot_raw[70]   -0.6089   0.2142  -0.9741   -0.4461    4.0625     4.0323  12.3097
beta_slot_raw[71]    0.1203   0.6504  -0.8019    0.9330    4.0444     4.0323  18.6591
beta_slot_raw[72]    0.1671   0.6771  -0.9814    0.6872    4.1632    11.2930   5.7913
beta_slot_raw[73]    0.3030   0.2967  -0.1110    0.6890    4.0586     4.0323  12.5883
beta_slot_raw[74]   -0.3624   0.4008  -0.7701    0.1911    4.2244    19.0666  11.5032
beta_slot_raw[75]   -0.0319   0.6223  -0.6623    0.7076    4.0681  4000.0000  10.9659
beta_slot_raw[76]   -0.6337   0.3649  -0.9527   -0.0274    4.0795     4.0323   9.4492
beta_slot_raw[77]    0.0635   0.4007  -0.3155    0.6418    4.0633     4.0323  11.9557
beta_slot_raw[78]    0.5812   0.2272   0.2759    0.8824    4.2086     4.0323  12.6774
beta_slot_raw[79]   -0.5307   0.6086  -0.9459    0.5175    4.2847     4.0323   4.4162
beta_slot_raw[80]    0.2587   0.6272  -0.4591    0.9873    4.3087     4.0323   4.0581
beta_slot_raw[81]   -0.0245   0.5275  -0.5737    0.5694    4.2525     4.0323   4.5636
beta_slot_raw[82]   -0.0190   0.4536  -0.7050    0.4692    4.0628     4.0323  11.7669
beta_slot_raw[83]    0.4663   0.2543   0.1357    0.8510    4.2017     4.0323   5.1008
beta_slot_raw[84]    0.2254   0.4095  -0.4713    0.5236    4.3273     4.0323   8.5487
beta_slot_raw[85]   -0.1751   0.3847  -0.5906    0.4423    4.1676    13.6623  16.2470
beta_slot_raw[86]   -0.1378   0.3733  -0.4403    0.4996    4.0792     4.0323   9.7000
beta_slot_raw[87]   -0.6204   0.5942  -0.9898    0.4082    4.0807     4.0323   9.8930
beta_slot_raw[88]    0.0667   0.6544  -0.8827    0.9665    4.0577     4.0323  13.2876
beta_slot_raw[89]   -0.2036   0.4326  -0.6593    0.2406    4.0508     4.0323  15.1066
beta_slot_raw[90]    0.0345   0.5655  -0.9304    0.5025    4.0801     4.0323   9.5973
beta_slot_raw[91]    0.3947   0.5276  -0.3758    0.9141    4.0692     4.0323  10.8561
beta_slot_raw[92]   -0.2730   0.5033  -0.9444    0.4268    4.2464     4.0323   4.5117
beta_slot_raw[93]   -0.2607   0.4564  -0.8627    0.2909    4.3368     4.0323   9.8273
beta_slot_raw[94]   -0.1242   0.4471  -0.8533    0.2673    4.3153    23.7172   3.9859
beta_slot_raw[95]    0.0217   0.7219  -0.9994    0.7568    4.0608     4.0323  12.2775
beta_slot_raw[96]    0.1294   0.5597  -0.7847    0.7150    4.0779     4.0323  10.3882
beta_slot_raw[97]   -0.0627   0.7068  -0.8827    0.9858    4.2633    13.5255   9.6014
beta_slot_raw[98]   -0.5860   0.1827  -0.7094   -0.2709    4.3144     4.0323   4.0340
beta_slot_raw[99]   -0.0543   0.6811  -0.7247    0.8140    4.0485     4.0323  17.2562
beta_slot_raw[100]   0.1241   0.4827  -0.3583    0.9270    4.2554    16.2953   4.5721
beta_slot_raw[101]   0.2809   0.5707  -0.5848    0.9394    4.0458     4.0323  18.0883
beta_slot_raw[102]   0.3344   0.6685  -0.7824    0.9256    4.0633     4.0323  11.8968
beta_slot_raw[103]   0.2907   0.2890  -0.0833    0.7255    4.2441    19.4154  10.6054
beta_slot_raw[104]   0.0744   0.5197  -0.5039    0.8307    4.1434    11.2830  16.8908
beta_slot_raw[105]   0.6178   0.3141   0.1753    0.9501    4.0674     4.0323  11.0381
beta_slot_raw[106]   0.1948   0.5988  -0.6998    0.8133    4.2488     4.0323  10.7474
beta_slot_raw[107]  -0.2584   0.5492  -0.9850    0.4469    4.0447     4.0323  18.2345
beta_slot_raw[108]  -0.0502   0.2709  -0.4906    0.2483    4.2311    11.9956   4.7866
beta_slot_raw[109]  -0.1984   0.4786  -0.7307    0.4362    4.0792     4.0323   9.6294
beta_slot_raw[110]  -0.0823   0.4420  -0.8012    0.3511    4.0867     4.0323   9.4025
beta_slot_raw[111]  -0.1553   0.2415  -0.5631    0.0637    4.0668     4.0323  11.1369
beta_slot_raw[112]   0.4292   0.2210   0.1019    0.6782    4.0458     4.0323  17.7597
beta_slot_raw[113]  -0.0461   0.5438  -0.7266    0.6772    4.2350    11.4684  10.0686
beta_slot_raw[114]   0.3499   0.1771   0.1103    0.5899    4.0826     4.0323   9.4009
beta_slot_raw[115]   0.0023   0.3292  -0.4600    0.4625    4.2496     4.0323  10.7479
beta_slot_raw[116]  -0.1132   0.3157  -0.5286    0.2086    4.1702     4.0323  15.1817
beta_slot_raw[117]   0.6374   0.2308   0.3670    0.9073    4.0839     4.0323   9.6176
beta_slot_raw[118]  -0.4905   0.3836  -0.9561    0.0475    4.3083    25.3813   9.5558
beta_slot_raw[119]  -0.1167   0.4583  -0.7806    0.3681    4.0471     4.0323  16.7044
beta_slot_raw[120]   0.0724   0.6517  -0.8941    0.9221    4.2809    14.5686   4.4528
beta_slot_raw[121]  -0.0207   0.9039  -0.9604    0.9099    4.0772     4.0323   9.9236
beta_slot_raw[122]  -0.0192   0.4575  -0.5013    0.5155    4.2034    16.9434  12.6731
beta_slot_raw[123]   0.2358   0.3452  -0.1249    0.7712    4.2458    16.0165   7.1353
beta_slot_raw[124]   0.4317   0.4794  -0.3742    0.8408    4.1507    12.3896   6.1330
beta_slot_raw[125]   0.3364   0.5020  -0.5026    0.7962    4.0448     4.0323  18.3536
beta_slot_raw[126]  -0.2195   0.3262  -0.7430    0.1358    4.0557     4.0323  13.9713
beta_slot_raw[127]  -0.8448   0.7744  -1.9244    0.1503    4.1432    11.3606   6.2033
beta_slot_raw[128]   0.2002   0.4268  -0.4801    0.5664    4.3115    34.6575   4.0681
beta_slot_raw[129]  -0.4140   0.3091  -0.7990   -0.0887    4.2231     4.0323  12.1746
beta_slot_raw[130]  -0.2370   0.6133  -0.9446    0.3797    4.0584     4.0323  12.8300
beta_slot_raw[131]   0.0557   0.4074  -0.4533    0.6456    4.0529     4.0323  14.5700
beta_slot_raw[132]  -0.0667   0.6545  -0.8866    0.8391    4.0490     4.0323  16.2069
beta_slot_raw[133]  -0.1257   0.4050  -0.8085    0.1877    4.0457     4.0323  18.6105
beta_slot_raw[134]  -0.1864   0.6470  -0.8226    0.7374    4.0565     4.0323  13.3234
beta_slot_raw[135]   0.2333   0.0780   0.1399    0.3110    4.0810     4.0323   9.4859
beta_slot_raw[136]   0.2990   0.6280  -0.7436    0.9369    4.0740     4.0323  10.5807
beta_slot_raw[137]  -0.1510   0.4357  -0.8265    0.3900    4.0528     4.0323  14.4484
beta_slot_raw[138]  -0.0537   0.2989  -0.5049    0.2943    4.0609     4.0323  12.8315
beta_slot_raw[139]  -0.2483   0.6996  -0.8302    0.9179    4.0801     4.0323   9.4415
beta_slot_raw[140]  -0.5097   0.2383  -0.7757   -0.1236    4.1664    14.6566  15.3434
beta_slot_raw[141]   0.3769   0.3843  -0.2435    0.8101    4.0462     4.0323  17.9573
beta_slot_raw[142]   0.1766   0.5051  -0.5876    0.8328    4.2589     4.0323   4.4111
beta_slot_raw[143]   0.1893   0.6661  -0.8955    0.8757    4.0697     4.0323  10.7057
beta_slot_raw[144]   0.1500   0.4796  -0.3066    0.9422    4.3639     4.0323   3.9855
beta_slot_raw[145]   0.4677   0.4212  -0.1774    0.9987    4.0731     4.0323  10.1814
beta_slot_raw[146]   0.0385   0.6153  -0.8047    0.9338    4.3309    24.4155   9.4057
beta_slot_raw[147]  -0.5118   0.1912  -0.6896   -0.1914    4.2720     4.0323   4.3188
beta_slot_raw[148]  -0.2603   0.6134  -0.8989    0.7355    4.1772     4.0323   5.5606
beta_slot_raw[149]   0.4853   0.2948   0.1881    0.7814    4.0670     4.0323  11.1081
beta_slot_raw[150]  -0.3582   0.3744  -0.8246    0.1952    4.0684     4.0323  10.9556
beta_slot_raw[151]   0.0774   0.7132  -0.7895    0.9076    4.0808     4.0323   9.6171
beta_slot_raw[152]   0.3229   0.1385   0.1207    0.4811    4.0484     4.0323  16.7857
beta_slot_raw[153]  -0.1368   0.6733  -0.9745    0.8471    4.0448     4.0323  18.6539
beta_slot_raw[154]  -0.0878   0.6521  -0.9845    0.8579    4.0662     4.0323  11.4799
beta_slot_raw[155]   0.0455   0.0415   0.0178    0.1173    4.0618     4.0323  12.1123
beta_slot_raw[156]   0.1678   0.5120  -0.3760    0.9762    4.2049    11.3120  11.1226
beta_slot_raw[157]   0.4476   0.6626  -0.6862    0.9598    4.2001     4.0323  14.3619
beta_slot_raw[158]   0.0579   0.6312  -0.6927    0.9467    4.0720     4.0323  10.3811
beta_slot_raw[159]  -0.0791   0.6463  -0.8586    0.9110    4.0767     4.0323  10.4988
beta_slot_raw[160]  -0.2705   0.4902  -0.8594    0.2146    4.1546     4.0323  18.2452
beta_slot_raw[161]  -0.3569   0.4854  -0.9716    0.2834    4.2882    25.5891  10.2040
