NCP Model -- Fold 5
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 1.0178  gate<1.05 -> PASS
ESS min:   314   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%   ess_bulk   ess_tail   r_hat
alpha              -37.3589  24.4199 -83.6512   11.0064  1658.2600  1537.8477  1.0011
beta_bkt_raw[45]     0.2673   1.0103  -1.6463    2.1515  3526.9659  2685.3985  1.0007
beta_bkt_raw[46]     0.1438   0.9437  -1.6652    1.8956  5214.7220  2889.3037  1.0008
beta_bkt_raw[47]    -0.2011   0.9929  -2.0444    1.6678  4628.8872  2775.4628  1.0008
beta_slot_raw[0]     0.0407   0.6804  -1.2300    1.2808  7157.8761  2821.2642  1.0024
beta_slot_raw[1]    -0.2373   0.7050  -1.5771    1.0422  6637.8138  3207.3553  1.0008
beta_slot_raw[2]     0.3082   0.6518  -0.8728    1.5395  5760.9963  2994.2415  1.0017
beta_slot_raw[3]     0.3750   0.6544  -0.9104    1.5177  6009.1549  2785.9743  1.0005
beta_slot_raw[4]    -0.0885   0.5293  -1.1007    0.8725  5514.4717  2714.9187  1.0018
beta_slot_raw[5]    -0.0316   0.5494  -1.1052    0.9674  4922.3132  2921.7381  1.0003
beta_slot_raw[6]     1.6441   0.4431   0.8240    2.4905  3953.1998  2666.3004  0.9996
beta_slot_raw[7]     0.4377   0.4572  -0.4446    1.2761  3598.4595  3141.1087  1.0012
beta_slot_raw[8]     0.0541   0.4270  -0.7202    0.8812  3578.2352  3139.4073  1.0001
beta_slot_raw[9]     0.4341   0.4386  -0.3313    1.3326  4735.6716  3031.2953  1.0007
beta_slot_raw[10]   -0.7808   0.4398  -1.6210   -0.0001  3406.4347  3008.2741  1.0002
beta_slot_raw[11]   -0.9999   0.4540  -1.8196   -0.1118  3625.6103  3191.4215  1.0006
beta_slot_raw[12]   -0.3431   0.4455  -1.1402    0.5064  4520.5468  2836.6110  1.0001
beta_slot_raw[13]    0.4199   0.4510  -0.3663    1.3169  4168.4817  3174.7497  1.0017
beta_slot_raw[14]   -0.2992   0.4628  -1.1146    0.5961  4336.2319  3107.0902  0.9996
beta_slot_raw[15]    0.7841   0.4238   0.0213    1.6456  2803.4027  3050.8493  1.0007
beta_slot_raw[16]   -0.0296   0.3995  -0.7625    0.7288  3266.1869  2722.4598  1.0001
beta_slot_raw[17]    0.5298   0.4116  -0.2649    1.2793  3589.9574  3267.1693  1.0005
beta_slot_raw[18]   -0.2093   0.3237  -0.8302    0.3845  2426.4559  2813.5752  1.0008
beta_slot_raw[19]   -0.3652   0.3468  -1.0395    0.2794  2752.9672  2903.9904  1.0002
beta_slot_raw[20]   -0.1094   0.3434  -0.7266    0.5455  2997.3767  2846.0234  1.0041
beta_slot_raw[21]    0.1415   0.3392  -0.4788    0.7840  3465.2196  2906.5636  1.0011
beta_slot_raw[22]    0.1092   0.3430  -0.5245    0.7714  2914.3634  2546.1004  1.0018
beta_slot_raw[23]    0.3772   0.3312  -0.2575    1.0030  2825.9639  2785.6282  1.0011
beta_slot_raw[24]   -0.3430   0.3454  -0.9484    0.3370  3076.0338  2943.5516  1.0012
beta_slot_raw[25]   -0.9578   0.3715  -1.6827   -0.2633  3153.9328  2774.7870  1.0012
beta_slot_raw[26]    0.9308   0.3751   0.2013    1.6016  2681.2157  2572.2383  1.0004
beta_slot_raw[27]    1.2694   0.3935   0.5351    2.0144  1795.1861  2600.8171  1.0012
beta_slot_raw[28]    0.6323   0.3453  -0.0500    1.2535  1690.6052  1975.3999  1.0028
beta_slot_raw[29]   -0.1895   0.4319  -0.9850    0.6263  4268.6566  2779.7828  1.0026
beta_slot_raw[30]    0.3523   0.4650  -0.5188    1.2264  4343.3618  3272.5385  1.0016
beta_slot_raw[31]   -0.0596   0.5471  -1.1020    0.9305  2799.4524  2544.8941  0.9998
beta_slot_raw[32]   -0.1504   0.5273  -1.1659    0.8085  4446.9625  2762.7671  0.9999
beta_slot_raw[33]   -0.6839   0.5313  -1.6291    0.4020  3447.3584  2451.5057  1.0003
beta_slot_raw[34]    0.0532   0.8513  -1.4984    1.5956  5852.0225  3357.4356  1.0005
beta_slot_raw[35]    1.1505   0.4112   0.3591    1.9048  3252.3581  2969.9991  1.0023
beta_slot_raw[36]   -1.3229   0.5406  -2.3737   -0.3590  4619.8743  3272.7722  1.0012
beta_slot_raw[37]   -1.1399   0.6669  -2.4862    0.0244  6397.5013  2932.6169  1.0001
beta_slot_raw[38]    2.1171   0.4799   1.2438    3.0397  4322.9906  2617.0736  1.0004
beta_slot_raw[39]   -0.7232   0.6174  -1.8802    0.4084  6078.0763  2872.1078  1.0000
beta_slot_raw[40]    0.7672   0.6321  -0.4069    2.0142  5562.3598  2791.3660  1.0016
beta_slot_raw[41]   -0.6278   0.5759  -1.6953    0.4607  6012.0293  2993.3063  1.0018
beta_slot_raw[42]   -1.0956   0.6328  -2.2035    0.1186  5295.6962  2835.7598  0.9994
beta_slot_raw[43]   -0.6598   0.6776  -1.8972    0.5960  6228.5504  2405.2404  1.0015
beta_slot_raw[44]   -0.4684   0.6188  -1.6089    0.7329  5261.8315  2947.7248  1.0003
beta_slot_raw[45]    0.7604   0.6202  -0.4210    1.8775  6403.7638  2843.1339  1.0000
beta_slot_raw[46]   -1.7361   0.6631  -3.0249   -0.5554  6605.1549  2853.8287  1.0002
