NCP Model -- Fold 3
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6331  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha              -38.0507   0.5698 -38.6811  -37.2302    4.0554    4.0323  13.8743
beta_bkt_raw[47]     0.1396   0.3332  -0.4154    0.4314    4.3014    4.0323   8.8942
beta_slot_raw[0]     0.0308   0.7756  -0.8690    0.8173    4.2896   17.9029   4.1415
beta_slot_raw[1]     0.2096   0.5704  -0.7508    0.7467    4.2982    4.0323  10.2277
beta_slot_raw[2]     0.4877   0.2655   0.0912    0.8368    4.3085    4.0323   9.4034
beta_slot_raw[3]    -0.0298   0.6576  -0.8421    0.9800    4.2592    4.0323   4.4482
beta_slot_raw[4]     0.1178   0.2149  -0.1859    0.4156    4.0567    4.0323  13.7720
beta_slot_raw[5]    -0.3577   0.7963  -0.9644    0.9937    4.0615    4.0323  12.5924
beta_slot_raw[6]    -0.3707   0.6862  -0.9586    0.7289    4.1953   19.1958  15.7235
beta_slot_raw[7]    -0.2000   0.3225  -0.5872    0.1448    4.2350    4.0323  11.6872
beta_slot_raw[8]     0.1074   0.5510  -0.8447    0.4836    4.2970   27.9124   4.1404
beta_slot_raw[9]     0.0218   0.5882  -0.8190    0.8426    4.1902   11.4902   5.2562
beta_slot_raw[10]    0.2793   0.5422  -0.6573    0.6309    4.2914   24.0386   4.1258
beta_slot_raw[11]    0.1113   0.2326  -0.1763    0.3784    4.0595    4.0323  12.8980
beta_slot_raw[12]    0.0990   0.2831  -0.2544    0.4102    4.0890    4.0323   9.5706
beta_slot_raw[13]   -0.4653   0.1772  -0.6675   -0.1803    4.1705   14.6067  14.8605
beta_slot_raw[14]    0.0028   0.3401  -0.3369    0.5538    4.1597   11.0696   9.8117
beta_slot_raw[15]   -0.0394   0.4160  -0.6194    0.4647    4.0535    4.0323  14.2504
beta_slot_raw[16]    0.0480   0.5816  -0.5937    0.9237    4.0750    4.0323  10.5526
beta_slot_raw[17]   -0.2712   0.3551  -0.8474    0.1013    4.1566   14.9131   6.0131
beta_slot_raw[18]    0.5867   0.1775   0.2945    0.7740    4.1750    4.0323  16.6888
beta_slot_raw[19]   -0.3647   0.3301  -0.6068    0.2004    4.0736    4.0323  10.5771
beta_slot_raw[20]    0.3765   0.3072   0.0269    0.8610    4.0588    4.0323  12.7339
beta_slot_raw[21]   -0.0396   0.4254  -0.6440    0.4528    4.2214   11.3910   4.8087
beta_slot_raw[22]   -0.5670   0.5537  -0.9266    0.3901    4.0481    4.0323  16.3728
beta_slot_raw[23]   -0.3326   0.3218  -0.8406    0.0485    4.0823    4.0323   9.4117
beta_slot_raw[24]    0.0732   0.5288  -0.7444    0.6013    4.3135   22.9671   3.9882
beta_slot_raw[25]   -0.4200   0.2177  -0.7776   -0.1936    4.0583    4.0323  12.7277
beta_slot_raw[26]    0.5804   0.5878  -0.4341    0.9879    4.3299   20.0838   4.0359
beta_slot_raw[27]    0.1313   0.5152  -0.7312    0.5761    4.0583    4.0323  12.6952
beta_slot_raw[28]   -0.0998   0.5099  -0.5411    0.7683    4.0444    4.0323  18.5330
beta_slot_raw[29]    0.0665   0.4409  -0.3931    0.7322    4.3484   31.6129   8.5906
beta_slot_raw[30]    0.0953   0.6588  -0.9406    0.6718    4.0479    4.0323  17.1568
beta_slot_raw[31]   -0.5019   0.3155  -0.9792   -0.1900    4.0497    4.0323  15.6365
beta_slot_raw[32]   -0.2894   0.7525  -0.9714    0.9015    4.1460    4.0323   6.2056
beta_slot_raw[33]   -0.2856   0.7032  -0.9456    0.7830    4.2110   11.6907  12.6845
beta_slot_raw[34]    0.1425   0.4392  -0.2922    0.6655    4.1926    4.0323   5.5056
beta_slot_raw[35]   -0.1414   0.7084  -0.8928    0.8849    4.0471    4.0323  16.9657
beta_slot_raw[36]    0.6268   0.4960  -0.1867    1.1511    4.0803    4.0323   9.5969
beta_slot_raw[37]   -0.3007   0.3204  -0.6419    0.0231    4.0752    4.0323  10.6671
beta_slot_raw[38]   -0.0278   0.4519  -0.7017    0.5609    4.0818    4.0323   9.4677
beta_slot_raw[39]    0.3249   0.5376  -0.4983    0.8880    4.3495    4.0323   8.5609
beta_slot_raw[40]   -0.0153   0.3819  -0.5870    0.4821    4.2185    4.0323  10.9763
beta_slot_raw[41]    0.0555   0.3762  -0.3518    0.4863    4.2948   23.5442   9.0764
beta_slot_raw[42]   -0.1168   0.6162  -0.6649    0.8937    4.1899    4.0323   5.5584
beta_slot_raw[43]    0.2972   0.3645  -0.2813    0.6569    4.3372    4.0323   8.9068
beta_slot_raw[44]   -0.1098   0.2592  -0.4649    0.2358    4.3340    4.0323   9.6525
beta_slot_raw[45]    0.3905   0.7926  -0.9674    0.9448    4.1782    4.0323  15.4155
beta_slot_raw[46]    0.0204   0.5396  -0.3900    0.9402    4.2832   16.8495  10.1079
beta_slot_raw[47]   -0.1864   0.6681  -0.8890    0.7291    4.0495    4.0323  16.7287
beta_slot_raw[48]   -0.1422   0.3464  -0.5261    0.4189    4.0715    4.0323  10.4555
beta_slot_raw[49]    0.0688   0.8186  -0.8059    0.9822    4.1655   11.3843  14.4405
beta_slot_raw[50]    0.3415   0.4832  -0.3222    0.9852    4.0876    4.0323   9.6074
beta_slot_raw[51]    0.4451   0.3822  -0.0807    0.8837    4.0691    4.0323  10.7869
beta_slot_raw[52]    0.6109   0.1492   0.3638    0.7640    4.3118   24.7100   4.2072
beta_slot_raw[53]    0.0849   0.4133  -0.4860    0.6700    4.0516    4.0323  14.9563
beta_slot_raw[54]   -0.0862   0.4900  -0.8813    0.4247    4.2505    4.0323  11.4310
beta_slot_raw[55]    0.3984   0.4399  -0.3317    0.8467    4.2147   13.4281   4.9823
beta_slot_raw[56]   -0.2847   0.4212  -0.9209    0.2634    4.0669    4.0323  11.0688
beta_slot_raw[57]    0.0975   0.5778  -0.8517    0.7011    4.2931   24.5821   4.1120
beta_slot_raw[58]    0.1349   0.3189  -0.2457    0.6357    4.1558    4.0323   5.9606
beta_slot_raw[59]    0.2483   0.5774  -0.6547    0.8671    4.1730   11.9941   5.6000
beta_slot_raw[60]   -0.4584   0.4696  -0.9614    0.2826    4.1745    4.0323   5.6653
beta_slot_raw[61]   -0.0525   0.3006  -0.4393    0.4044    4.0525    4.0323  14.5222
beta_slot_raw[62]   -0.1570   0.5314  -0.7440    0.4728    4.2972    4.0323   4.1900
beta_slot_raw[63]    0.2098   0.4120  -0.2467    0.8194    4.0495    4.0323  15.7080
beta_slot_raw[64]    0.1828   0.7835  -0.9304    0.9911    4.0702    4.0323  10.9566
beta_slot_raw[65]    0.1190   0.4744  -0.5790    0.5802    4.2930   23.6440   4.2139
