NCP Model -- Fold 4
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 31633592.8714  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail         r_hat
alpha              -33.9274   0.5788 -34.4129  -32.9415    4.0323     4.0323  3.163359e+07
beta_bkt_raw[44]    -0.2198   0.5664  -0.9392    0.4787    4.0323     4.0323  3.163359e+07
beta_bkt_raw[45]    -0.0379   0.7419  -0.8860    0.9243    4.0323     4.0323  3.163359e+07
beta_bkt_raw[46]    -0.2280   0.4133  -0.9007    0.1513    4.0323     4.0323  3.163359e+07
beta_bkt_raw[47]     0.3035   0.4052  -0.1224    0.9450    4.0323  4000.0000  3.163359e+07
beta_slot_raw[0]    -0.1418   0.4062  -0.5461    0.5178    4.0323     4.0323  3.163359e+07
beta_slot_raw[1]    -0.0528   0.2195  -0.2422    0.3170    4.0323     4.0323  3.163359e+07
beta_slot_raw[2]     0.2960   0.6501  -0.7443    0.9746    4.0323     4.0323  3.163359e+07
beta_slot_raw[3]     0.0972   0.5760  -0.5823    0.9095    4.0323     4.0323  3.163359e+07
beta_slot_raw[4]    -0.2593   0.3303  -0.7648    0.0391    4.0323     4.0323  3.163359e+07
beta_slot_raw[5]     0.3663   0.6364  -0.6892    0.9404    4.0323     4.0323  3.163359e+07
beta_slot_raw[6]     0.1061   0.5444  -0.4911    0.9202    4.0323     4.0323  3.163359e+07
beta_slot_raw[7]     0.0519   0.5389  -0.7615    0.7290    4.0323     4.0323  3.163359e+07
beta_slot_raw[8]     0.3235   0.7072  -0.8878    0.8506    4.0323     4.0323  3.163359e+07
beta_slot_raw[9]     0.1679   0.2696  -0.1435    0.5916    4.0323     4.0323  3.163359e+07
beta_slot_raw[10]    0.0021   0.5300  -0.8449    0.4796    4.0323     4.0323  3.163359e+07
beta_slot_raw[11]   -0.2816   0.5473  -0.8272    0.6031    4.0323     4.0323  3.163359e+07
beta_slot_raw[12]   -0.2458   0.2696  -0.6056    0.0376    4.0323     4.0323  3.163359e+07
beta_slot_raw[13]    0.2726   0.3189  -0.1106    0.6918    4.0323     4.0323  3.163359e+07
beta_slot_raw[14]    0.1083   0.6040  -0.8387    0.7766    4.0323     4.0323  3.163359e+07
beta_slot_raw[15]   -0.4088   0.2734  -0.7877   -0.0469    4.0323     4.0323  3.163359e+07
beta_slot_raw[16]    0.1691   0.7555  -0.6483    0.9664    4.0323     4.0323  3.163359e+07
beta_slot_raw[17]   -0.0199   0.7562  -0.9539    0.8224    4.0323     4.0323  3.163359e+07
beta_slot_raw[18]    0.0507   0.5616  -0.8966    0.5730    4.0323     4.0323  3.163359e+07
beta_slot_raw[19]   -0.2932   0.4582  -0.9624    0.2867    4.0323  4000.0000  3.163359e+07
beta_slot_raw[20]   -0.0202   0.3631  -0.5014    0.5217    4.0323     4.0323  3.163359e+07
beta_slot_raw[21]    0.2769   0.5109  -0.5361    0.8646    4.0323     4.0323  3.163359e+07
beta_slot_raw[22]    0.0718   0.6046  -0.7991    0.8259    4.0323     4.0323  3.163359e+07
beta_slot_raw[23]   -0.5223   0.5121  -0.9391    0.3519    4.0323     4.0323  3.163359e+07
beta_slot_raw[24]   -0.3547   0.4131  -0.9876    0.1683    4.0323     4.0323  3.163359e+07
beta_slot_raw[25]    0.2724   0.6186  -0.6265    0.9065    4.0323     4.0323  3.163359e+07
beta_slot_raw[26]   -0.4865   0.3007  -0.9575   -0.1200    4.0323     4.0323  3.163359e+07
beta_slot_raw[27]    0.3756   0.7916  -0.9746    0.9385    4.0323     4.0323  3.163359e+07
beta_slot_raw[28]   -0.6316   0.2783  -0.9965   -0.3597    4.0323     4.0323  3.163359e+07
beta_slot_raw[29]    0.0667   0.4524  -0.2211    0.8497    4.0323     4.0323  3.163359e+07
beta_slot_raw[30]   -0.4270   0.4800  -0.7494    0.3990    4.0323     4.0323  3.163359e+07
beta_slot_raw[31]    0.4173   0.5849  -0.5616    0.9885    4.0323     4.0323  3.163359e+07
beta_slot_raw[32]   -0.3278   0.7737  -0.9994    0.9886    4.0323     4.0323  3.163359e+07
beta_slot_raw[33]   -0.2769   0.6426  -0.6925    0.8349    4.0323     4.0323  3.163359e+07
beta_slot_raw[34]    0.1850   0.2769  -0.0492    0.6576    4.0323     4.0323  3.163359e+07
beta_slot_raw[35]   -0.4314   0.2720  -0.7919   -0.1057    4.0323     4.0323  3.163359e+07
beta_slot_raw[36]   -0.1657   0.5553  -0.9681    0.4622    4.0323     4.0323  3.163359e+07
beta_slot_raw[37]    0.0652   0.6713  -0.9077    0.7121    4.0323     4.0323  3.163359e+07
beta_slot_raw[38]   -0.2043   0.6183  -0.8369    0.8200    4.0323     4.0323  3.163359e+07
beta_slot_raw[39]    0.3076   0.5115  -0.4312    0.9668    4.0323     4.0323  3.163359e+07
beta_slot_raw[40]   -0.1702   0.6329  -0.9820    0.7924    4.0323     4.0323  3.163359e+07
beta_slot_raw[41]   -0.3217   0.6926  -0.8952    0.8301    4.0323     4.0323  3.163359e+07
beta_slot_raw[42]    0.3924   0.3468   0.0440    0.7507    4.0323     4.0323  3.163359e+07
beta_slot_raw[43]   -0.2228   0.2820  -0.5326    0.1747    4.0323     4.0323  3.163359e+07
beta_slot_raw[44]   -0.1781   0.5993  -0.9310    0.6475    4.0323     4.0323  3.163359e+07
beta_slot_raw[45]    0.1692   0.6837  -0.7921    0.8267    4.0323     4.0323  3.163359e+07
beta_slot_raw[46]    0.5904   0.4721  -0.2151    0.9857    4.0323     4.0323  3.163359e+07
beta_slot_raw[47]   -0.0601   0.3896  -0.6760    0.3663    4.0323     4.0323  3.163359e+07
beta_slot_raw[48]    0.4890   0.3783  -0.1067    0.9139    4.0323     4.0323  3.163359e+07
beta_slot_raw[49]    0.2704   0.2367   0.0287    0.6253    4.0323     4.0323  3.163359e+07
beta_slot_raw[50]    0.4543   0.5772  -0.5292    0.9490    4.0323     4.0323  3.163359e+07
beta_slot_raw[51]   -0.1065   0.6057  -0.9230    0.7223    4.0323     4.0323  3.163359e+07
beta_slot_raw[52]    0.0973   0.5493  -0.5538    0.9356    4.0323     4.0323  3.163359e+07
beta_slot_raw[53]    0.2791   0.4313  -0.3002    0.8957    4.0323     4.0323  3.163359e+07
beta_slot_raw[54]   -0.2414   0.2418  -0.4992    0.1024    4.0323     4.0323  3.163359e+07
beta_slot_raw[55]   -0.1072   0.4051  -0.6203    0.5026    4.0323     4.0323  3.163359e+07
beta_slot_raw[56]   -0.3092   0.4683  -0.7361    0.4771    4.0323     4.0323  3.163359e+07
