ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2026-04-06  18:06:39.296324	2026-04-06  18:06:39.296318		Limit	1	Order Sent	TM_6	Sell	24300.0000000				IPS(all)+TM(all+last50)	3	Auto-trade: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3 | SellEntry | IPS(all)+TM(all+last50) | Bar start date-time: 2026-04-06  14:05:52.683 | Last: 24264.25 | Scaling out | AOE=false | AOU=false	22635365	Close	Y	NQM26					0.00			Good till Canceled	
Orders	2026-04-06  18:06:39.296505	2026-04-06  18:06:39.296501		Limit	1	Order Sent	TM_6	Sell	26021.2500000				IPS(all)+TM(all+last50)	3	Auto-trade: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3 | SellEntry | IPS(all)+TM(all+last50) | Bar start date-time: 2026-04-06  14:05:52.683 | Last: 24264.25 | Scaling out | AOE=false | AOU=false	22635366	Close	Y	NQM26					0.00			Good till Canceled	
Orders	2026-04-06  18:06:39.512690	2026-04-06  18:06:39.512686	42783333	Stop Limit	3	Pending Open	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	3	Trading Evaluator (New). Info: Order from DTC client #30027. Sierra Chart. 46.117.230.86 | Client text: Tag: IPS(all)+TM(all+last50). Text: Tag: IPS(all)+TM(all+last50)	22635363	Close	Y	NQM26					0.00		22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512704	2026-04-06  18:06:39.512703	42783333	Stop Limit	3	Open	TM_6	Sell	24245.2500000	24235.2500000			IPS(all)+TM(all+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: IPS(all)+TM(all+last50)	22635363	Close	Y	NQM26					0.00	42783333	22635363.28384	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512722	2026-04-06  18:06:39.512720	42783334	Limit	1	Pending Open	TM_6	Sell	24282.2500000				IPS(all)+TM(all+last50)	3	Trading Evaluator (New). Info: Order from DTC client #30027. Sierra Chart. 46.117.230.86 | Client text: Tag: IPS(all)+TM(all+last50). Text: Tag: IPS(all)+TM(all+last50)	22635364	Close	Y	NQM26					0.00		22635364.21377	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512735	2026-04-06  18:06:39.512733	42783334	Limit	1	Open	TM_6	Sell	24282.2500000				IPS(all)+TM(all+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: IPS(all)+TM(all+last50)	22635364	Close	Y	NQM26					0.00	42783334	22635364.21377	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512754	2026-04-06  18:06:39.512752	42783335	Limit	1	Pending Open	TM_6	Sell	24300.0000000				IPS(all)+TM(all+last50)	3	Trading Evaluator (New). Info: Order from DTC client #30027. Sierra Chart. 46.117.230.86 | Client text: Tag: IPS(all)+TM(all+last50). Text: Tag: IPS(all)+TM(all+last50)	22635365	Close	Y	NQM26					0.00		22635365.58336	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512768	2026-04-06  18:06:39.512767	42783335	Limit	1	Open	TM_6	Sell	24300.0000000				IPS(all)+TM(all+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: IPS(all)+TM(all+last50)	22635365	Close	Y	NQM26					0.00	42783335	22635365.58336	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512784	2026-04-06  18:06:39.512782	42783336	Limit	1	Pending Open	TM_6	Sell	26021.2500000				IPS(all)+TM(all+last50)	3	Trading Evaluator (New). Info: Order from DTC client #30027. Sierra Chart. 46.117.230.86 | Client text: Tag: IPS(all)+TM(all+last50). Text: Tag: IPS(all)+TM(all+last50)	22635366	Close	Y	NQM26					0.00		22635366.29410	Good till Canceled	shimishon
Orders	2026-04-06  18:06:39.512796	2026-04-06  18:06:39.512795	42783336	Limit	1	Open	TM_6	Sell	26021.2500000				IPS(all)+TM(all+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: IPS(all)+TM(all+last50)	22635366	Close	Y	NQM26					0.00	42783336	22635366.29410	Good till Canceled	shimishon
